time	syntax_penn_tok2	syntax_penn_lem2	syntax_stan_tok2	syntax_stan_lem2	lexical_tok2	lexical_lem2	cosine_semanticL	partner_direction	condition_info
0	0.0	0.0	0.0	0.16666666666666669	0.0	0.0	0.2296847220497541	Mitsuku:>Judge:	Mitsuko1-cond1.txt
1	0.0	0.0	0.0	0.0	0.0	0.0	0.7660112328156857	Judge:>Mitsuku:	Mitsuko1-cond1.txt
2	0.0	0.0	0.0	0.0	0.0	0.0	0.08071039780555744	Mitsuku:>Judge:	Mitsuko1-cond1.txt
3	0.4999999999999999	0.4999999999999999	0.4999999999999999	0.4999999999999999	0.4999999999999999	0.4999999999999999	0.6381406752107323	Judge:>Mitsuku:	Mitsuko1-cond1.txt
0	0.0	0.0	0.0	0.0	0.0	0.0	0.5906757738566888	Judge:>Mitsuku:	Mitsuko10-cond1.txt
1	0.0	0.0	0.0	0.0	0.0	0.0	0.3122317974173592	Mitsuku:>Judge:	Mitsuko10-cond1.txt
2	0.0	0.0	0.0	0.0	0.0	0.0	0.45740750491261495	Judge:>Mitsuku:	Mitsuko10-cond1.txt
3	0.0	0.0	0.0	0.0	0.0	0.0	0.553110452525945	Mitsuku:>Judge:	Mitsuko10-cond1.txt
4	0.0	0.0	0.31622776601683794	0.31622776601683794	0.31622776601683794	0.31622776601683794	0.6292607675092828	Judge:>Mitsuku:	Mitsuko10-cond1.txt
5	0.0	0.0	0.0	0.0	0.0	0.0	0.4714724425651593	Mitsuku:>Judge:	Mitsuko10-cond1.txt
6	0.2672612419124244	0.25	0.2672612419124244	0.2672612419124244	0.0	0.0	0.7386179864725912	Judge:>Mitsuku:	Mitsuko10-cond1.txt
0	0.18257418583505533	0.19611613513818402	0.19611613513818402	0.19611613513818402	0.0	0.0	0.6371776476207486	Judge:>Mitsuku:	Mitsuko11-cond1.txt
1	0.0	0.16012815380508716	0.0	0.16012815380508716	0.0	0.0	0.24620559594067126	Mitsuku:>Judge:	Mitsuko11-cond1.txt
2	0.0	0.14433756729740646	0.0	0.140028008402801	0.0	0.0	0.49656808977655387	Judge:>Mitsuku:	Mitsuko11-cond1.txt
3	0.43301270189221935	0.43301270189221935	0.2886751345948129	0.420084025208403	0.2886751345948129	0.4082482904638631	0.509137818763015	Mitsuku:>Judge:	Mitsuko11-cond1.txt
4	0.0	0.0	0.0	0.0	0.0	0.0	0.2996289587072962	Judge:>Mitsuku:	Mitsuko11-cond1.txt
5	0.0	0.18257418583505536	0.0	0.18257418583505536	0.0	0.18257418583505536	0.7798672265555675	Mitsuku:>Judge:	Mitsuko11-cond1.txt
6	0.0	0.16903085094570328	0.0	0.16903085094570328	0.0	0.16903085094570328	0.7748646061201794	Judge:>Mitsuku:	Mitsuko11-cond1.txt
7	0.0	0.26726124191242434	0.0	0.26726124191242434	0.0	0.0	0.13004563227077748	Mitsuku:>Judge:	Mitsuko11-cond1.txt
8	0.0	0.20412414523193148	0.0	0.0	0.0	0.0	0.5746210464226532	Judge:>Mitsuku:	Mitsuko11-cond1.txt
9	0.0	0.0	0.0	0.0	0.0	0.0	0.21829978593814436	Mitsuku:>Judge:	Mitsuko11-cond1.txt
10	0.0	0.0	0.0	0.0	0.0	0.0	0.1672008412179009	Judge:>Mitsuku:	Mitsuko11-cond1.txt
11	0.0	0.0	0.0	0.0	0.0	0.0	0.30411463221243795	Mitsuku:>Judge:	Mitsuko11-cond1.txt
12	0.34050261230349943	0.44543540318737396	0.3563483225498992	0.46829290579084704	0.0	0.0	0.4010188311903504	Judge:>Mitsuku:	Mitsuko11-cond1.txt
13	0.0	0.0	0.0	0.0	0.0	0.0	0.2906466935214205	Mitsuku:>Judge:	Mitsuko11-cond1.txt
14	0.0	0.0	0.0	0.0	0.0	0.0	0.5373687693348559	Judge:>Mitsuku:	Mitsuko11-cond1.txt
15	0.0	0.0	0.0	0.0	0.0	0.0	0.5758644971291651	Mitsuku:>Judge:	Mitsuko11-cond1.txt
16	0.0	0.4364357804719848	0.0	0.0	0.0	0.0	0.20692120169688288	Judge:>Mitsuku:	Mitsuko11-cond1.txt
0	0.0	0.0	0.0	0.0	0.0	0.0	0.5915340334443995	Mitsuku:>Judge:	Mitsuko12-cond1.txt
1	0.0	0.0	0.0	0.0	0.0	0.0	0.6014266450383876	Judge:>Mitsuku:	Mitsuko12-cond1.txt
2	0.0	0.0	0.0	0.0	0.0	0.0	0.32858895099528285	Mitsuku:>Judge:	Mitsuko12-cond1.txt
3	0.0	0.0	0.0	0.0	0.0	0.0	0.411017021560965	Judge:>Mitsuku:	Mitsuko12-cond1.txt
4	0.0	0.0	0.0	0.0	0.0	0.0	0.33491627573609595	Mitsuku:>Judge:	Mitsuko12-cond1.txt
5	0.0	0.0	0.0	0.0	0.0	0.0	0.23670046775064835	Judge:>Mitsuku:	Mitsuko12-cond1.txt
6	0.0	0.0	0.0	0.0	0.0	0.0	0.5536535757920781	Mitsuku:>Judge:	Mitsuko12-cond1.txt
7	0.0	0.0	0.0	0.0	0.0	0.0	0.3018890680625175	Judge:>Mitsuku:	Mitsuko12-cond1.txt
8	0.14907119849998599	0.0	0.14907119849998599	0.14907119849998599	0.0	0.0	0.5366730336186449	Mitsuku:>Judge:	Mitsuko12-cond1.txt
9	0.0	0.0	0.0	0.0	0.0	0.0	0.7292916007448186	Judge:>Mitsuku:	Mitsuko12-cond1.txt
10	0.0	0.0	0.0	0.0	0.0	0.0	0.5503554318178163	Mitsuku:>Judge:	Mitsuko12-cond1.txt
11	0.16222142113076252	0.16222142113076252	0.16222142113076252	0.16222142113076252	0.0	0.0	0.5750410065629542	Judge:>Mitsuku:	Mitsuko12-cond1.txt
