time	syntax_penn_tok2	syntax_penn_lem2	lexical_tok2	lexical_lem2	cosine_semanticL	partner_direction	condition_info
2	0.28721347895177635	0.3994460033059657	0.017180203318601237	0.050251890762960605	0.6026097271477766	A>B	phoneDialog691-phoneDialog519-condA
3	0.2593218476574587	0.5277986629117476	0.0	0.0	0.6125955795234426	B>A	phoneDialog691-phoneDialog519-condA
4	0.286691089540498	0.4597033112824591	0.057807331301608	0.05713119890400423	0.7000615278967517	A>B	phoneDialog691-phoneDialog519-condA
5	0.17817416127494962	0.2679456508228335	0.0	0.04313310928137536	0.49424128215060426	B>A	phoneDialog691-phoneDialog519-condA
6	0.3366700865083859	0.4535573676110727	0.0	0.0816496580927726	0.46754859618910116	A>B	phoneDialog691-phoneDialog519-condA
7	0.3390804737696724	0.4716050757972506	0.0	0.0	0.6201999269787253	B>A	phoneDialog691-phoneDialog519-condA
8	0.2377286555250982	0.36410102732823074	0.0	0.0	0.3992162579114038	A>B	phoneDialog691-phoneDialog519-condA
9	0.0	0.0	0.0	0.0	0.1933102224927038	B>A	phoneDialog691-phoneDialog519-condA
10	0.0	0.0	0.0	0.0		A>B	phoneDialog691-phoneDialog519-condA
11	0.12216944435630522	0.105999788000636	0.0	0.0		B>A	phoneDialog691-phoneDialog519-condA
12	0.2737143036942437	0.4531845001249086	0.0	0.0	0.65377643332349	A>B	phoneDialog691-phoneDialog519-condA
0	0.18871283902409927	0.2863281433391	0.0	0.0	0.5092595772548038	A>B	phoneDialog982-phoneDialog965-condA
1	0.18923271008903098	0.17040572913692198	0.0	0.0	0.4954225561396187	B>A	phoneDialog982-phoneDialog965-condA
2	0.06114813413561818	0.14930466958822783	0.03450327796711771	0.03450327796711771	0.44579784320617266	A>B	phoneDialog982-phoneDialog965-condA
3	0.29879792120082205	0.5272743858924668	0.02291746242570528	0.0445435403187374	0.5642157672505914	B>A	phoneDialog982-phoneDialog965-condA
4	0.10529962529853128	0.23809523809523808	0.0	0.0	0.36899577492922797	A>B	phoneDialog982-phoneDialog965-condA
5	0.1643989873053573	0.1543033499620919	0.0	0.0	0.3271957902228465	B>A	phoneDialog982-phoneDialog965-condA
6	0.22680460581325723	0.3865006029094686	0.0	0.0	0.44925273669174726	A>B	phoneDialog982-phoneDialog965-condA
7	0.0	0.11952286093343935	0.0	0.0	0.4830503253544929	B>A	phoneDialog982-phoneDialog965-condA
8	0.1543033499620919	0.1543033499620919	0.0	0.0	0.12145087194949122	A>B	phoneDialog982-phoneDialog965-condA
9	0.14433756729740646	0.25819888974716115	0.0	0.0	0.1259652513099916	B>A	phoneDialog982-phoneDialog965-condA
10	0.0	0.27386127875258304	0.0	0.0	0.5912535200749757	A>B	phoneDialog982-phoneDialog965-condA
11	0.0	0.0	0.0	0.0	0.27898014389970416	B>A	phoneDialog982-phoneDialog965-condA
12	0.0	0.06454972243679027	0.0	0.0	0.33691252952176964	A>B	phoneDialog982-phoneDialog965-condA
