syntax_penn_tok2	syntax_penn_lem2	lexical_tok2	lexical_lem2	condition_info
0.6314139587259844	0.6314139587259844	0.11488366906386362	0.1660534015303369	phoneDialog40-phoneDialog965-condA
0.7085458373036787	0.7085458373036787	0.053118786092203274	0.09563359134567266	phoneDialog691-phoneDialog519-condA
0.5372887913245714	0.5372887913245714	0.0690746877205522	0.08917925560329748	phoneDialog982-phoneDialog965-condA
0.7839426670750824	0.7839426670750824	0.18830561020728712	0.28137895268262875	phoneDialog329-phoneDialog1017-condA
0.8053550801057793	0.8053550801057793	0.21345690071868154	0.2312929062128276	phoneDialog313-phoneDialog603-condA
0.6899922532740379	0.6899922532740379	0.1375093836715878	0.21328659924244434	phoneDialog76-phoneDialog987-condA
0.7613312314545859	0.7613312314545859	0.13061694493804032	0.14079115044086377	phoneDialog165-phoneDialog77-condA
0.685130436168913	0.685130436168913	0.14456082739572795	0.20792184897378052	phoneDialog333-phoneDialog839-condA
0.7925331832515975	0.7925331832515975	0.10127671576549589	0.12645990557149525	phoneDialog993-phoneDialog398-condA
0.8032905175480463	0.8032905175480463	0.19632834971049964	0.25354893274534884	phoneDialog51-phoneDialog1025-condA
0.8275431236703872	0.8275431236703872	0.178207359926468	0.2640654011250797	phoneDialog482-phoneDialog793-condA
0.8272814071496581	0.8272814071496581	0.17765977626726265	0.19872067063926704	phoneDialog278-phoneDialog558-condA
0.798543452690708	0.798543452690708	0.29758966028968487	0.3656178010442885	phoneDialog622-phoneDialog561-condA
0.7393125005212428	0.7393125005212428	0.10510310002028428	0.12451430025992505	phoneDialog633-phoneDialog564-condA
0.7195048995899999	0.7195048995899999	0.12108192065641686	0.16933109308500946	phoneDialog265-phoneDialog742-condA
0.7193950125339876	0.7193950125339876	0.1692220893114458	0.192138395889763	phoneDialog605-phoneDialog1060-condA
0.7494685406389149	0.7494685406389149	0.15953976099033443	0.21417590909807457	phoneDialog662-phoneDialog939-condA
0.8488176036058506	0.8488176036058506	0.1937239209002273	0.2644496965547555	phoneDialog474-phoneDialog424-condA
0.8090983168932349	0.8090983168932349	0.18878040576344957	0.23363502938075875	phoneDialog1152-phoneDialog151-condA
0.6928282668872948	0.6928282668872948	0.13051769322946566	0.13594563261825524	phoneDialog778-phoneDialog260-condA
0.7957761601692077	0.7957761601692077	0.2309494800549729	0.2887036854790369	phoneDialog333-phoneDialog743-condA
0.8671542050045121	0.8671542050045121	0.27729656591016905	0.34202898590833253	phoneDialog578-phoneDialog551-condA
0.6494714777613703	0.6494714777613703	0.060821451491665214	0.14410581970973546	phoneDialog828-phoneDialog771-condA
0.7641756337182417	0.7641756337182417	0.14896120313470423	0.21799937465773794	phoneDialog1028-phoneDialog745-condA
0.7910894299016908	0.7910894299016908	0.3033936434963625	0.3663064038520019	phoneDialog493-phoneDialog576-condA
0.8478079463168771	0.8478079463168771	0.23778769715270948	0.33131236826665394	phoneDialog670-phoneDialog250-condA
0.7514894458395922	0.7514894458395922	0.11741874086614958	0.16672842937646382	phoneDialog627-phoneDialog34-condA
0.783569716850569	0.783569716850569	0.06582170647676083	0.0764155085806136	phoneDialog1015-phoneDialog382-condA
0.8146860254521147	0.8146860254521147	0.3093313127020902	0.35803620573692824	phoneDialog1090-phoneDialog982-condA
0.770710466529766	0.770710466529766	0.1267779942852611	0.15858616057288058	phoneDialog497-phoneDialog738-condA
0.7945800701771378	0.7945800701771378	0.234636881651067	0.3267016279653037	phoneDialog553-phoneDialog54-condA
0.7109005015595267	0.7109005015595267	0.18502439629885342	0.28164697988946596	phoneDialog264-phoneDialog736-condA
0.7498472164822299	0.7498472164822299	0.12015195480841818	0.20167781854008246	phoneDialog46-phoneDialog659-condA
0.7083108346588822	0.7083108346588822	0.2601956018433661	0.3039248748136856	phoneDialog898-phoneDialog94-condA
0.8376999975148113	0.8376999975148113	0.14201045316493557	0.20912126905739534	phoneDialog643-phoneDialog1090-condA
0.7745796941986	0.7745796941986	0.038014296063485276	0.06739395270192564	phoneDialog606-phoneDialog1118-condA
0.8848673936812439	0.8848673936812439	0.3333655088050749	0.4078998528724044	phoneDialog70-phoneDialog69-condA
0.8302028856767	0.8302028856767	0.18475661979902366	0.2571807178731176	phoneDialog299-phoneDialog290-condA
0.6930418580353084	0.6930418580353084	0.14389140581126966	0.15249933731035875	phoneDialog128-phoneDialog170-condA
0.7127547261673489	0.7127547261673489	0.21134489978863144	0.24331062286727065	phoneDialog383-phoneDialog815-condA
0.794963088319749	0.794963088319749	0.12030392822362916	0.12925657877211238	phoneDialog113-phoneDialog270-condA
0.7238380442195053	0.7238380442195053	0.1345245450196279	0.13689283326735033	phoneDialog829-phoneDialog470-condA
0.6567300076642287	0.6567300076642287	0.23548257912512813	0.26578480533760623	phoneDialog521-phoneDialog371-condA
0.6852111694477852	0.6852111694477852	0.07769279156776716	0.10477259638868791	phoneDialog840-phoneDialog34-condA
0.8218381237414585	0.8218381237414585	0.25047759360714855	0.31075368988479113	phoneDialog724-phoneDialog937-condA
0.7772296022847439	0.7772296022847439	0.10809799370645458	0.13165747782581347	phoneDialog600-phoneDialog1071-condA
0.7862967197142319	0.7862967197142319	0.11753451771953458	0.11968358168983986	phoneDialog183-phoneDialog1061-condA
0.7519385553308104	0.7519385553308104	0.12624254654999464	0.15237969394426498	phoneDialog103-phoneDialog488-condA
0.7600530279609053	0.7600530279609053	0.16189023674534114	0.23342489046196313	phoneDialog868-phoneDialog650-condA
0.8121901828494442	0.8121901828494442	0.11145564251507058	0.1797692472514225	phoneDialog543-phoneDialog889-condA
